SG_UF,TIPO_REDE,NUM_CANDIDATOS
AC,facebook,278
AC,instagram,418
AC,linkedin,4
AC,outros,72
AC,twitter,8
AC,youtube,16
AL,facebook,606
AL,instagram,3148
AL,outros,122
AL,twitter,4
AL,youtube,22
AM,facebook,3970
AM,instagram,3818
AM,linkedin,16
AM,outros,1068
AM,twitter,62
AM,youtube,96
AP,facebook,1142
AP,instagram,1168
AP,linkedin,2
AP,outros,138
AP,twitter,4
AP,youtube,20
BA,facebook,9290
BA,instagram,20610
BA,linkedin,36
BA,outros,1890
BA,twitter,56
BA,youtube,332
CE,facebook,10180
CE,instagram,17590
CE,linkedin,38
CE,outros,2530
CE,twitter,60
CE,youtube,348
ES,facebook,6946
ES,instagram,8662
ES,linkedin,60
ES,outros,1520
ES,twitter,32
ES,youtube,214
GO,facebook,9168
GO,instagram,15396
GO,linkedin,46
GO,outros,2452
GO,twitter,44
GO,youtube,314
MA,facebook,3918
MA,instagram,10290
MA,linkedin,20
MA,outros,1402
MA,twitter,34
MA,youtube,134
MG,facebook,37982
MG,instagram,46160
MG,linkedin,388
MG,outros,7796
MG,twitter,224
MG,youtube,1002
MS,facebook,7222
MS,instagram,6840
MS,linkedin,26
MS,outros,1154
MS,twitter,16
MS,youtube,104
MT,facebook,8842
MT,instagram,9842
MT,linkedin,32
MT,outros,2138
MT,twitter,24
MT,youtube,228
PA,facebook,12854
PA,instagram,14348
PA,linkedin,26
PA,outros,2712
PA,twitter,32
PA,youtube,192
PB,facebook,3364
PB,instagram,7988
PB,linkedin,14
PB,outros,602
PB,twitter,16
PB,youtube,132
PE,facebook,4882
PE,instagram,11276
PE,linkedin,34
PE,outros,1438
PE,twitter,38
PE,youtube,258
PI,facebook,4338
PI,instagram,9250
PI,linkedin,10
PI,outros,1332
PI,twitter,34
PI,youtube,74
PR,facebook,57320
PR,instagram,45314
PR,linkedin,448
PR,outros,12264
PR,twitter,254
PR,youtube,1652
RJ,facebook,13862
RJ,instagram,18176
RJ,linkedin,134
RJ,outros,3682
RJ,twitter,180
RJ,youtube,588
RN,facebook,4174
RN,instagram,8412
RN,linkedin,12
RN,outros,1090
RN,twitter,10
RN,youtube,154
RO,facebook,5766
RO,instagram,5674
RO,linkedin,8
RO,outros,1278
RO,twitter,14
RO,youtube,146
RR,facebook,892
RR,instagram,1404
RR,outros,266
RR,twitter,2
RR,youtube,36
RS,facebook,46660
RS,instagram,37464
RS,linkedin,228
RS,outros,7166
RS,twitter,284
RS,youtube,880
SC,facebook,22600
SC,instagram,23096
SC,linkedin,144
SC,outros,3320
SC,twitter,136
SC,youtube,388
SE,facebook,924
SE,instagram,3094
SE,outros,358
SE,twitter,14
SE,youtube,58
SP,facebook,66190
SP,instagram,61580
SP,linkedin,742
SP,outros,13578
SP,twitter,570
SP,youtube,2068
TO,facebook,2144
TO,instagram,3756
TO,linkedin,2
TO,outros,654
TO,twitter,6
TO,youtube,40
